sample-id	InputFileName	Site	Description
I1.SRR12400120	I1.SRR12400120	Impacted	SRR12400120
I2.SRR12400119	I2.SRR12400119	Impacted	SRR12400119
I3.SRR12400118	I3.SRR12400118	Impacted	SRR12400118
S1.SRR12400125	S1.SRR12400125	Source	SRR12400125
S2.SRR12400123	S2.SRR12400123	Source	SRR12400123
S3.SRR12400124	S3.SRR12400124	Source	SRR12400124
V1.SRR12400122	V1.SRR12400122	Valley	SRR12400122
V2.SRR12400121	V2.SRR12400121	Valley	SRR12400121
